id_setor_censitario,sigla_uf,v052,v053,v054,v055,v056,v057,v058,v059,v060,v061,v062,v063
355030830000314,SP1,9,4,7,7,19,12,11,21,22,12,14,11
355030830000319,SP1,19,15,19,18,22,26,18,20,15,20,17,11
355030830000332,SP1,9,11,17,10,13,11,17,19,18,12,13,10
355030830000334,SP1,1,7,6,5,13,7,9,19,7,10,15,7
355030830000451,SP1,31,25,39,34,32,36,30,35,30,42,26,27
355030831000011,SP1,12,7,10,7,10,11,13,21,19,8,21,17
355030831000093,SP1,15,13,6,9,14,10,14,28,15,16,19,16
355030831000121,SP1,15,17,13,11,17,13,10,17,16,14,7,10
355030833000022,SP1,14,4,7,7,11,10,10,18,9,8,11,7
355030833000066,SP1,9,4,7,4,14,8,13,17,6,16,16,5
355030833000122,SP1,15,22,21,18,16,14,21,17,11,22,11,15
355030834000114,SP1,7,8,17,14,23,24,18,23,15,11,11,12
355030834000124,SP1,15,10,22,22,23,16,33,20,24,13,26,28
355030836000090,SP1,8,7,13,10,11,10,7,17,22,15,17,13
355030836000148,SP1,18,8,10,10,15,12,13,17,12,15,12,7
355030837000050,SP1,13,14,10,9,16,10,15,17,9,11,20,25
355030837000060,SP1,7,9,13,8,10,14,13,17,7,12,11,7
355030837000249,SP1,2,2,2,6,3,6,9,19,5,6,12,6
355030837000253,SP1,8,6,11,7,9,8,15,17,6,5,6,13
355030838000025,SP1,9,10,5,13,10,9,10,17,14,8,20,11
355030838000063,SP1,18,7,11,12,9,10,12,22,11,6,8,9
355030838000064,SP1,0,5,8,12,6,7,16,17,4,6,8,8
355030839000029,SP1,11,11,8,18,7,10,7,18,6,8,10,11
355030839000059,SP1,6,7,8,4,8,4,13,17,6,6,6,4
355030839000103,SP1,6,3,10,9,6,10,11,18,13,16,6,7
355030839000107,SP1,13,14,14,8,8,5,9,17,12,15,11,10
355030839000114,SP1,15,19,16,11,23,15,14,17,14,18,17,15
355030841000003,SP1,13,14,14,12,12,14,19,18,10,11,13,15
355030841000057,SP1,17,8,16,19,18,28,19,20,23,18,17,23
355030842000092,SP1,8,12,10,18,24,14,20,18,18,20,15,22
355030842000140,SP1,13,13,27,15,17,28,15,20,27,27,15,21
355030842000151,SP1,14,12,20,17,14,16,25,18,18,15,20,10
355030842000153,SP1,11,7,12,16,15,11,7,18,4,10,6,10
355030842000156,SP1,11,16,15,15,14,18,21,17,13,16,15,12
355030842000158,SP1,19,20,19,17,16,18,17,26,21,16,20,20
355030842000171,SP1,17,19,19,19,12,19,17,21,6,10,18,16
355030842000172,SP1,27,25,37,36,22,29,30,21,25,9,25,20
355030842000175,SP1,19,15,14,14,22,18,20,25,15,16,19,20
355030842000194,SP1,9,16,11,18,25,17,13,19,22,19,30,23
355030842000197,SP1,13,13,24,15,13,20,17,21,21,28,17,13
355030842000229,SP1,16,20,25,27,21,32,15,28,20,20,15,13
355030842000268,SP1,22,13,10,12,19,15,8,17,10,9,23,14
355030842000273,SP1,17,21,19,21,17,23,21,21,19,26,28,14
355030843000060,SP1,14,17,12,20,16,9,18,21,11,15,15,15
355030843000072,SP1,8,15,14,17,18,24,16,17,13,15,7,16
355030843000087,SP1,16,17,15,17,20,27,19,34,22,26,23,27
355030843000097,SP1,20,20,25,23,17,15,25,21,20,15,24,24
355030843000103,SP1,21,18,18,13,23,15,21,18,22,17,24,16
355030843000120,SP1,7,15,14,16,34,21,22,19,12,18,18,16
355030843000129,SP1,18,8,22,20,20,23,28,24,14,28,11,17
355030843000157,SP1,11,8,14,10,13,13,15,17,15,15,10,12
355030843000158,SP1,5,9,6,13,12,10,9,18,11,6,7,12
355030843000185,SP1,12,12,10,9,8,12,15,17,15,8,9,14
355030843000214,SP1,5,10,5,8,7,10,11,19,9,18,13,13
355030843000216,SP1,9,19,21,13,11,31,20,19,15,21,21,15
355030843000237,SP1,15,12,17,18,18,13,16,17,17,14,20,14
355030843000238,SP1,20,11,12,17,21,16,20,25,18,26,32,21
355030843000260,SP1,17,16,11,10,17,17,18,19,12,18,12,17
355030843000263,SP1,14,12,9,9,15,10,12,18,11,12,14,12
355030843000264,SP1,25,21,20,19,18,20,27,21,15,28,19,20
355030843000270,SP1,19,19,29,22,22,20,28,18,16,20,16,26
355030843000272,SP1,17,12,12,17,19,13,13,18,12,13,7,12
355030843000369,SP1,14,12,17,18,12,18,16,17,12,10,17,12
355030843000411,SP1,13,13,22,16,14,14,12,18,23,17,22,19
355030844000080,SP1,11,17,22,16,22,14,10,17,6,12,15,15
355030844000168,SP1,10,17,11,12,14,14,10,19,15,9,17,8
355030846000003,SP1,9,15,13,12,17,15,14,20,14,15,22,17
355030846000039,SP1,11,15,14,21,11,16,31,20,30,20,28,31
355030846000099,SP1,14,17,16,24,16,21,18,17,13,15,29,17
355030846000116,SP1,8,17,20,21,22,22,12,27,20,18,16,22
355030846000142,SP1,21,22,18,18,21,20,29,20,13,23,26,25
355030846000144,SP1,17,22,20,20,12,18,19,20,14,17,14,20
355030846000147,SP1,14,13,21,15,8,20,20,18,9,16,9,10
355030846000148,SP1,10,3,8,10,10,13,16,19,3,11,17,11
355030846000154,SP1,14,13,13,13,11,10,15,18,14,13,8,10
355030846000191,SP1,19,12,20,16,22,18,23,24,14,20,30,22
355030846000199,SP1,10,5,10,17,19,13,10,18,15,19,12,16
355030846000206,SP1,10,6,10,16,11,24,22,22,9,15,16,16
355030846000272,SP1,7,5,14,8,11,12,15,17,10,12,12,11
355030846000274,SP1,15,16,18,16,15,20,24,21,20,17,21,18
355030846000277,SP1,21,20,19,18,20,19,16,24,22,20,14,14
355030846000279,SP1,19,9,14,17,12,16,16,20,15,22,18,12
355030846000305,SP1,9,10,11,8,11,12,15,19,14,9,8,7
355030846000317,SP1,5,10,12,8,7,5,14,17,4,9,11,7
355030850000045,SP1,29,18,26,24,16,25,19,25,25,12,17,20
355030851000051,SP1,3,4,11,12,12,7,6,18,8,7,10,8
355030851000105,SP1,10,9,11,6,10,11,10,18,6,8,8,12
355030853000071,SP1,23,48,48,50,44,27,32,44,30,53,64,63
355030853000075,SP1,2,5,6,8,13,21,14,18,4,4,2,6
355030855000014,SP1,24,16,19,15,22,17,23,19,10,15,13,22
355030855000036,SP1,6,2,11,18,6,5,6,17,7,9,14,8
355030855000056,SP1,26,18,13,26,25,15,26,29,18,17,20,25
355030855000079,SP1,16,14,16,29,21,10,11,17,13,14,16,10
355030855000088,SP1,19,18,11,19,19,10,13,21,13,13,19,16
355030855000096,SP1,14,16,18,20,23,18,20,22,22,26,20,23
355030855000098,SP1,19,26,15,24,21,16,18,24,20,23,21,13
355030855000116,SP1,22,22,19,14,14,21,14,19,10,14,17,11
355030856000020,SP1,17,14,12,24,22,23,27,22,29,22,20,20
355030857000003,SP1,12,10,9,7,15,15,15,17,18,10,14,9
355030857000016,SP1,2,2,3,4,11,13,41,47,34,15,19,2
355030857000038,SP1,21,20,8,11,11,18,17,18,10,16,25,8
355030857000056,SP1,15,11,14,5,16,17,10,17,9,8,6,11
355030857000070,SP1,20,8,20,14,17,8,18,27,18,14,22,16
355030858000075,SP1,15,10,7,12,15,12,11,18,17,15,9,4
355030858000091,SP1,11,13,13,8,8,11,15,18,5,10,6,8
355030858000097,SP1,9,14,14,9,14,13,13,17,15,11,12,11
355030858000104,SP1,11,19,12,21,12,13,13,22,14,7,13,11
355030858000200,SP1,4,8,7,11,13,12,12,25,16,12,9,7
355030859000141,SP1,7,8,9,8,11,10,17,17,16,4,11,9
355030860000109,SP1,0,1,3,5,5,10,14,19,18,5,15,11
355030860000112,SP1,8,5,22,23,12,21,23,20,6,15,9,18
355030861000062,SP1,7,8,24,7,6,6,4,22,7,5,2,6
355030861000072,SP1,15,10,24,19,12,8,9,18,10,6,9,7
355030863000001,SP1,17,14,18,17,17,25,23,27,27,24,25,26
355030863000089,SP1,7,9,8,9,6,11,8,21,8,13,8,13
355030863000208,SP1,20,11,20,29,26,21,26,17,20,18,27,15
355030865000020,SP1,13,11,16,12,22,13,19,25,15,20,11,17
355030865000138,SP1,4,12,5,5,8,13,5,18,15,8,10,16
355030866000039,SP1,5,8,8,10,10,9,16,19,15,15,21,15
355030866000129,SP1,6,9,8,7,17,19,14,17,23,17,17,10
355030867000057,SP1,15,11,15,18,26,15,21,20,5,15,9,17
355030867000074,SP1,19,28,25,23,29,14,28,32,11,29,22,21
355030867000076,SP1,7,17,16,20,7,13,16,20,10,24,24,22
355030867000077,SP1,18,9,20,10,10,10,15,17,12,16,14,15
355030867000175,SP1,8,8,6,3,4,9,13,18,14,10,14,14
