id_setor_censitario,total_renda
355030805000097,907412
355030805000098,775640
355030805000099,1099800
355030805000100,1112876
355030805000101,430996
355030805000102,1638122
355030805000103,1218474
355030805000104,725766
355030805000105,602088
355030805000106,495546
355030805000107,767286
355030805000108,756506
355030805000109,1206648
355030805000110,1039896
355030805000111,1367712
355030805000112,469894
355030805000113,996250
355030805000114,782232
355030805000115,1129504
355030805000116,1000728
355030805000117,1125802
355030805000118,1017920
355030805000119,1198608
355030805000120,1365130
355030805000121,1327062
355030805000122,863158
355030805000123,1005226
355030805000124,580636
355030805000125,1153980
355030805000126,853902
355030805000127,1507498
355030805000128,829700
355030805000129,868142
355030805000130,1514418
355030805000131,1166308
355030805000132,1927420
355030805000133,1734028
355030805000134,1544156
355030805000135,783210
355030805000136,1172262
355030805000137,1215740
355030805000138,1425978
355030805000139,1546258
355030805000140,908368
355030805000141,1232402
355030805000142,852422
355030805000143,1029896
355030805000144,705334
355030805000145,1280634
355030805000146,724374
355030805000147,471990
355030805000148,591394
355030805000149,573284
355030806000002,1999880
355030806000003,1439032
355030806000004,1993958
355030806000005,4667688
355030806000006,1322086
355030806000007,348336
355030806000008,711160
355030806000009,1199702
355030806000010,1683026
355030806000011,1463014
355030806000012,2636852
355030806000013,2330314
355030806000014,2177122
355030806000015,10256404
355030806000016,1655760
355030806000017,675804
355030806000018,2108790
355030806000019,3003846
355030806000020,1758092
355030806000021,3898174
355030806000022,3570386
355030806000023,1718516
355030806000024,6188774
355030806000025,4570712
355030806000026,652436
355030806000027,531610
355030806000028,8067940
355030806000029,2669412
355030806000030,1442928
355030806000037,459620
355030807000001,6677832
355030807000002,2968792
355030807000003,3138626
355030807000004,1442998
355030807000005,3080324
355030807000006,2440396
355030807000007,2426158
355030807000008,6070200
355030807000009,4758180
355030807000010,4368764
355030807000011,4414180
355030807000012,2662272
355030807000013,671792
355030807000014,1256248
355030807000015,767742
355030807000016,1864876
355030807000017,1377360
355030807000018,3279314
355030807000019,3408594
355030807000020,4156910
355030807000021,3918472
355030807000022,3621332
355030807000023,1246364
355030807000024,3618120
355030807000025,2875954
355030807000026,4880550
355030807000027,4971174
355030807000028,4565802
355030807000029,868130
355030807000030,948080
355030807000031,2580572
355030807000032,2560652
355030807000033,1572442
355030807000034,1254688
355030807000035,795488
355030807000036,880480
355030807000037,1001590
355030807000038,707528
355030807000039,1024274
355030807000040,1216182
355030807000041,760546
355030807000042,818362
355030807000043,2012356
355030807000044,994030
355030807000045,472056
355030807000046,750420
355030807000047,1817572
355030807000048,3301680
355030807000049,2849234
355030807000050,4622788
355030807000051,3214422
355030807000052,11442588
355030807000053,1383828
355030807000054,6815094
355030807000055,4202826
355030807000056,1528660
355030807000057,3711174
355030807000058,3978110
355030807000059,12718992
355030807000060,1851910
355030807000061,1205900
355030807000062,4443824
355030807000063,1570718
355030807000064,1544232
355030807000065,1519698
355030807000066,2482796
355030807000067,1331954
355030807000068,2385282
355030807000069,1575080
355030807000070,1911576
355030807000071,2025700
355030807000072,1294994
355030807000073,706688
355030807000074,3141774
355030807000075,3348400
355030807000076,2561064
355030807000077,2051552
355030807000078,4452874
355030807000079,6283734
355030807000080,2187232
355030807000081,0
355030807000082,2470352
355030807000083,1270598
355030807000084,1186120
355030807000085,1373140
355030807000086,2594668
355030807000087,2136478
355030807000088,1089200
355030807000089,856072
355030807000090,1437350
355030807000091,1689330
355030807000092,1247124
355030807000093,1223358
355030807000094,2881314
355030807000095,1366492
355030807000096,511016
355030807000097,532992
355030807000098,4694416
355030807000099,12053524
355030807000100,1102704
355030807000101,2336720
355030807000102,1322842
355030807000103,1975972
355030807000104,4933100
355030807000105,1069846
355030807000106,1049032
355030807000107,801688
355030807000108,1025528
355030807000109,965790
355030807000110,1057346
355030807000111,3638038
355030807000112,938034
355030807000113,1014736
355030807000114,2076532
355030807000115,1384366
355030807000116,614092
355030807000117,782190
355030807000118,1647460
355030807000119,2503998
355030807000120,2942876
355030807000121,5316664
355030807000123,4172072
355030807000124,2768248
355030807000125,2133350
355030807000126,1506062
355030807000127,2462490
355030807000128,3004388
355030807000129,3259438
355030807000130,3485032
355030807000131,2096604
355030807000132,1791020
355030807000133,764674
355030807000134,1390954
355030807000135,4650738
355030807000136,1109322
355030807000137,1840538
355030807000138,2087718
355030807000139,1040544
355030807000140,2036660
355030807000141,478044
355030807000142,1406206
355030807000143,745478
355030808000001,3093002
355030808000002,507496
355030808000003,2873768
355030808000004,4244280
355030808000005,1564166
355030808000006,1592470
355030808000007,1152626
355030808000008,1195630
355030808000009,734884
355030808000010,1368464
355030808000011,3246144
355030808000012,2260466
355030808000013,986866
355030808000014,1242434
355030808000015,791052
355030808000016,1067368
355030808000017,1739152
355030808000018,2003048
355030808000019,950820
355030808000020,3480776
355030808000021,1575316
355030808000022,1109150
355030808000023,1762326
355030808000024,1155192
355030808000025,1077738
355030808000026,1317296
355030808000027,977754
355030808000028,790938
355030808000029,1683214
355030808000030,1523748
355030808000031,1845708
355030808000032,1002300
355030808000033,2579478
355030808000034,3033748
355030808000035,1467832
355030808000036,1116844
355030808000037,2150910
355030808000038,876600
355030808000039,1323220
355030808000040,1449698
355030808000041,391348
355030808000042,1147248
355030808000043,488210
355030808000044,1477782
355030808000045,1412544
355030808000046,1183474
355030808000047,1185632
355030808000048,1302314
355030808000049,2422878
355030808000050,1320054
355030808000051,609064
355030808000052,1610696
355030808000053,668502
355030808000054,585668
355030808000055,1113216
355030808000056,427408
355030808000057,513020
355030808000058,971328
355030808000059,448440
355030808000060,737200
355030808000061,2518960
355030808000062,1730524
355030808000063,2123912
355030808000064,2626146
355030808000065,601400
355030808000066,1622096
355030808000067,765562
355030808000068,2299342
355030808000069,1880198
355030808000070,1440502
355030808000071,697722
355030808000072,860660
355030808000073,958322
355030808000075,3847190
355030808000076,1771312
355030808000077,2560120
355030808000078,1301554
355030808000079,2017344
355030809000001,1016600
355030809000002,1457674
355030809000003,2879322
355030809000004,1872326
355030809000005,1624910
355030809000006,1544564
355030809000007,957550
355030809000008,1067928
355030809000009,2310288
355030809000010,1107694
355030809000011,1849940
355030809000012,1678384
355030809000013,1656690
355030809000014,1832602
355030809000015,1129258
355030809000016,1039536
355030809000017,1087630
355030809000018,1800812
355030809000019,1273864
355030809000020,881400
355030809000021,1155664
355030809000022,1214426
355030809000023,1832814
355030809000024,808760
355030809000025,781076
355030809000026,1266690
355030809000027,1186496
355030809000028,125820
355030809000029,822672
355030809000030,1190374
355030809000031,1147000
355030809000032,499834
355030809000033,812084
355030809000034,1954070
355030809000035,1448222
355030809000036,1170862
355030809000037,552318
355030809000038,72632
355030809000039,1233344
355030809000040,2960960
355030809000041,852182
355030809000042,242240
355030809000043,1400258
355030809000044,373956
355030809000045,257664
355030809000046,127200
355030809000047,1685336
355030809000048,661470
355030809000049,2453020
355030809000050,1803408
355030810000001,587864
355030810000002,503336
355030810000003,250000
355030810000004,2840282
355030810000005,913240
355030810000006,949290
355030810000007,650160
355030810000008,608286
355030810000009,940458
355030810000010,1116084
355030810000011,1336048
355030810000012,1670526
355030810000013,753732
355030810000014,1505464
355030810000015,1013598
355030810000016,597338
355030810000017,424860
355030810000018,1401294
355030810000019,1018272
355030810000020,1260492
355030810000021,1610676
355030810000022,1205770
355030810000023,220560
355030810000024,1068488
355030810000025,1694044
355030810000026,496482
355030810000027,1690838
355030810000028,614882
355030810000029,266500
355030810000030,891890
355030810000031,525362
355030810000032,1775868
355030810000033,819836
355030810000034,640226
355030810000035,1677326
355030810000036,1755462
355030810000037,1550814
355030810000038,1363096
355030810000039,1554294
355030810000040,670480
355030810000041,376726
355030810000042,627342
355030810000043,530988
355030810000044,747916
355030810000045,812124
355030810000046,1715072
355030810000047,245340
355030810000048,244282
355030810000049,508748
355030810000050,1979994
355030810000051,361442
355030810000052,755654
355030810000053,1897844
355030810000054,2027576
355030810000055,0
355030810000056,1134320
355030811000001,1051578
355030811000002,661442
355030811000003,1055554
355030811000004,1135328
355030811000005,1224058
355030811000006,670500
355030811000007,1320314
355030811000008,931510
355030811000009,644026
355030811000010,1144786
355030811000011,662384
355030811000012,1082660
355030811000013,361768
355030811000014,871572
355030811000015,840524
355030811000016,607278
355030811000017,728800
355030811000018,682170
355030811000019,419052
355030811000020,676116
355030811000021,668486
355030811000022,704720
355030811000023,400930
355030811000024,822338
355030811000025,568072
355030811000026,741664
355030811000027,597404
355030811000028,158980
355030811000029,398000
355030811000030,396214
355030811000031,797890
355030811000032,273540
355030811000033,933892
355030811000034,691768
355030811000035,913978
355030811000036,1146250
355030811000037,246460
355030811000038,1765766
355030811000039,2204732
355030811000040,1816958
355030811000041,1911942
355030811000042,1451700
355030811000043,1914306
355030811000044,838522
355030811000045,984276
355030811000046,993896
355030811000047,1415604
355030811000048,81106
355030811000049,205104
355030811000050,421362
355030811000051,729436
355030811000052,587512
355030811000053,452212
355030811000054,466920
355030811000055,163880
355030811000056,543474
355030811000057,868358
355030811000058,1100980
355030811000059,283460
355030811000060,715770
355030811000061,1161744
355030811000062,898864
355030811000063,811602
355030811000064,1097170
355030811000065,1052796
355030811000066,472600
355030811000067,813952
355030811000068,1121064
355030811000069,680898
355030811000070,1152362
355030811000071,1244684
355030811000072,1170628
355030811000073,1183924
355030811000074,1646638
355030811000075,1608876
355030811000076,589700
355030811000077,1036050
355030811000078,518150
355030811000079,757300
355030811000080,201190
355030811000081,1153230
355030811000082,747334
355030811000083,677372
355030811000084,420180
355030811000085,880074
355030811000086,669308
355030811000087,1065736
355030811000088,53410
355030811000089,477238
355030811000090,1146826
355030811000091,1153692
355030811000092,878672
355030811000093,690304
355030811000094,899542
355030811000095,847380
355030811000096,542980
355030811000097,881922
355030811000098,548068
355030811000099,869828
355030811000100,572404
355030811000101,435168
355030811000102,659382
355030811000103,341640
355030811000104,621100
355030811000105,840996
355030811000106,1021474
355030811000107,1693754
355030811000108,834822
355030811000109,1082884
355030811000110,845942
355030811000111,1793204
355030811000112,1007212
355030811000113,1282798
355030811000114,915692
355030811000115,1483324
355030811000116,1536296
355030811000117,605794
355030811000118,149440
355030811000119,1104684
355030811000120,585150
355030811000121,1136310
355030811000122,1109518
355030811000123,640726
355030811000124,1243260
355030811000125,1152950
355030811000126,1355276
355030811000127,608500
355030811000128,487116
355030811000129,1665350
355030811000130,1252982
355030811000131,1188508
355030811000132,770062
355030811000133,547872
355030811000134,1154106
355030811000135,433212
355030811000136,644662
355030811000137,1800148
355030811000138,1103540
355030811000139,524932
355030811000140,3054728
355030811000141,301824
355030811000142,481596
355030811000143,775376
355030811000144,305080
355030811000145,922570
355030811000146,808540
355030811000147,507500
355030811000148,658312
355030811000149,575480
355030811000150,513344
355030811000151,1448310
355030811000152,876610
355030811000153,864840
355030811000154,1359404
355030811000155,612722
355030811000156,1148246
355030811000157,1262572
355030811000158,431608
355030811000159,1208312
355030811000160,644404
355030811000161,867526
355030811000162,1020898
355030811000163,258484
355030811000164,928662
355030811000165,840478
355030811000166,451336
355030811000167,440060
355030811000168,665428
355030811000169,495068
355030811000171,804396
355030811000172,1123328
355030811000173,308542
355030811000174,962800
355030811000175,157190
355030811000176,956526
355030811000177,1329364
355030811000178,1405170
355030811000179,873096
355030811000180,871718
355030811000181,680810
355030811000182,952298
355030811000183,1207624
355030811000184,728746
355030811000185,794330
355030811000186,707256
355030811000187,598778
355030811000188,1020274
355030811000189,1004878
355030811000190,267390
355030811000191,496988
355030811000192,673034
355030811000193,850208
355030811000194,58840
355030811000195,1737170
355030811000196,764422
355030811000197,1169852
355030811000198,398264
355030811000199,399638
355030811000200,784792
355030811000201,1348838
355030811000202,1036784
355030811000203,561694
355030811000204,723260
355030811000205,962358
355030811000206,391412
355030811000207,405808
355030811000208,633652
355030811000209,595014
355030811000210,728882
355030811000211,602286
355030811000212,381914
355030811000213,661346
355030811000215,230150
355030811000217,1469632
355030811000218,780028
355030811000219,235796
355030811000220,211572
355030811000221,1032750
355030811000222,566702
355030811000223,766040
355030811000224,880206
355030811000225,175218
355030811000226,100020
355030811000227,982766
355030811000228,192420
355030811000229,639570
355030811000230,593470
355030811000231,484480
355030811000232,480462
355030811000233,795814
355030811000234,329404
355030811000235,733932
355030811000236,853690
355030811000237,876266
355030811000238,546642
355030811000239,839316
355030811000240,792570
355030811000241,503824
355030811000242,532628
355030811000243,788196
355030811000244,1127174
355030811000245,590694
355030811000246,733638
355030811000247,478920
355030811000248,802256
355030811000249,495086
355030811000250,216964
355030811000251,317690
355030811000252,382702
355030811000253,554660
355030811000255,722042
355030811000256,1132800
355030811000257,358874
355030811000258,656832
355030811000259,1015112
355030811000260,693150
355030811000261,1057922
355030811000262,486272
355030811000263,360140
355030811000265,35296
355030811000266,98730
355030811000271,385400
355030811000272,445854
355030811000273,734740
355030811000274,631018
355030811000275,584608
355030811000276,268754
355030811000277,225724
355030811000278,419446
355030811000279,480380
355030811000280,498950
355030811000281,197336
355030811000282,305664
355030811000283,425260
355030811000284,534306
355030811000285,283562
355030811000286,480218
355030811000287,376572
355030811000288,498406
355030811000289,858096
355030811000290,785834
355030811000291,1595040
355030811000292,390876
355030811000293,188196
355030811000294,784236
355030811000295,683574
355030811000296,735010
355030811000297,822718
355030811000298,613766
355030811000299,492512
355030811000300,441096
355030811000301,287506
355030811000302,310180
355030811000303,575032
355030811000304,875458
355030811000305,462328
355030811000306,813434
355030811000307,342748
355030811000308,756528
355030811000309,507382
355030811000310,469078
355030811000311,554464
355030811000312,814470
355030811000313,208744
355030811000314,614092
355030811000315,986000
355030811000316,749204
355030811000317,469386
355030811000318,561852
355030811000319,1682252
355030811000320,766434
355030811000321,802480
355030811000322,1283720
355030811000323,290260
355030811000324,738278
355030811000325,537618
355030811000326,635522
355030811000327,176820
355030811000329,78276
355030811000331,2571404
355030811000333,699726
355030811000334,59930
355030811000335,228510
355030811000336,521846
355030811000338,212820
355030811000339,1734608
355030811000343,139182
355030811000344,293342
355030811000346,160458
355030811000350,148160
355030811000352,56360
355030811000354,5467926
355030811000355,480558
355030811000356,251500
355030811000357,102900
355030811000358,227430
355030811000359,448454
355030811000360,200842
355030811000361,80720
355030811000362,80858
355030811000363,282590
355030811000364,770022
355030811000365,416572
355030811000366,103602
355030811000367,128536
355030811000368,456310
355030811000369,276846
355030811000370,228200
355030811000371,112956
355030811000372,183262
355030811000373,192120
355030811000374,654960
355030811000375,1019890
355030811000376,415544
355030811000377,319876
355030811000378,100080
355030811000379,262232
355030811000380,257774
355030811000381,469452
355030811000382,46700
355030811000383,104472
355030811000384,1072508
355030811000385,446700
355030811000386,285166
355030811000387,90720
355030811000388,178910
355030811000389,124480
355030811000390,485018
355030812000001,1778436
355030812000002,3621176
355030812000003,3306116
355030812000004,1580534
355030812000005,815934
355030812000006,1111922
355030812000007,1812246
355030812000008,784228
355030812000009,1354430
355030812000010,2979766
355030812000011,1751884
355030812000012,560160
355030812000013,1180084
355030812000014,925044
355030812000015,1273948
355030812000016,505970
355030812000017,2226396
355030812000018,1146904
355030812000019,1067904
355030812000020,1301306
355030812000021,471458
355030812000022,2345184
355030812000023,2195334
355030812000024,472680
355030812000025,2539520
355030812000026,971142
355030812000027,559508
355030812000028,1067660
355030812000029,980312
355030812000030,2871872
355030812000031,2180222
355030812000032,1115894
355030812000033,925900
355030812000034,2103564
355030812000035,1801212
355030812000036,1504160
355030812000037,2393270
355030812000038,156300
355030812000039,740752
355030812000040,2939822
355030812000041,2906174
355030812000042,1372812
355030812000043,1999940
355030812000044,1446432
355030812000045,2076774
355030812000046,624912
355030812000047,2694936
355030812000048,1760030
355030812000049,2593560
355030812000050,1033720
355030812000051,1061066
355030812000052,154898
355030812000053,2571402
355030812000054,2882174
355030812000055,1359000
355030812000056,1755368
355030812000057,985730
355030812000058,2483180
355030812000059,1965868
355030812000060,1446460
355030812000061,2314374
355030812000062,1093792
355030812000063,2271608
355030812000064,3357706
355030812000065,2276392
355030812000066,1779730
355030812000067,1971726
355030812000068,3327960
355030812000069,1894456
355030812000070,110520
355030812000071,898190
355030812000072,860406
355030812000073,1591068
355030812000074,1321300
355030812000075,872840
355030812000076,695650
355030812000077,892062
355030812000078,731720
355030812000079,804756
355030812000080,1097958
355030812000081,2560522
355030812000082,777968
355030812000083,932986
355030812000084,743604
355030812000085,1325858
355030812000086,2079436
355030812000087,2446732
355030812000088,1688110
355030812000089,1172710
355030812000090,3987120
355030812000091,1612160
355030812000092,1310896
355030812000093,2130280
355030812000094,1519582
355030812000095,2322820
355030812000096,1155742
355030812000097,751034
355030812000098,794944
355030812000099,812894
355030812000100,760220
355030812000101,976274
355030812000102,2229162
355030812000103,1724834
355030812000104,1620388
355030812000105,1123872
355030812000106,1166246
355030812000107,1644520
355030812000108,1888146
355030812000109,909354
355030812000110,1215426
355030812000111,1780924
355030812000112,1608350
355030812000113,1689822
355030812000114,1558220
355030812000115,2510454
355030812000116,1290600
355030812000117,1678152
355030812000118,1844484
355030812000119,1340580
355030812000120,1556400
355030812000121,1075470
355030812000122,1152992
355030812000123,1851650
355030812000124,2245180
355030812000125,0
355030812000126,0
355030812000127,4178660
355030812000128,2970800
355030812000129,2354140
355030812000130,1738326
355030812000131,1558162
355030812000132,1481736
355030812000133,1873606
355030812000134,894010
355030812000135,961072
355030812000136,545822
355030812000137,1661958
355030812000138,1672374
355030812000139,673606
355030812000140,760180
355030812000141,835910
355030812000142,778444
355030812000143,4254474
355030812000144,1027814
355030812000145,502552
355030812000146,146080
355030813000001,799120
355030813000002,743644
355030813000003,1542562
355030813000004,866142
355030813000005,1316098
355030813000006,1245982
355030813000007,1185606
355030813000008,1276716
355030813000009,2950060
355030813000010,1456978
355030813000011,923446
355030813000012,436554
