id_setor_censitario,pessoas_5anos_mais_alfab
355030804000081,601
355030804000082,820
355030804000083,543
355030804000084,697
355030804000085,515
355030804000086,748
355030804000087,463
355030804000088,800
355030804000089,400
355030804000090,670
355030804000091,614
355030804000092,639
355030804000093,524
355030804000094,702
355030804000095,615
355030804000096,992
355030804000097,688
355030804000098,542
355030804000099,700
355030804000100,842
355030804000101,631
355030804000102,917
355030804000103,608
355030804000104,1005
355030804000105,489
355030804000106,912
355030804000107,809
355030804000108,912
355030804000109,133
355030804000110,545
355030804000111,920
355030804000112,895
355030804000113,835
355030804000114,464
355030804000115,386
355030804000116,465
355030804000117,576
355030804000118,726
355030804000119,460
355030804000120,551
355030804000121,393
355030804000122,660
355030804000123,503
355030804000124,534
355030804000125,41
355030805000001,795
355030805000002,590
355030805000003,452
355030805000004,317
355030805000005,504
355030805000006,810
355030805000007,1137
355030805000008,422
355030805000009,211
355030805000010,518
355030805000011,586
355030805000012,590
355030805000013,323
355030805000014,597
355030805000015,607
355030805000016,442
355030805000017,562
355030805000018,794
355030805000019,723
355030805000020,467
355030805000021,564
355030805000022,916
355030805000023,991
355030805000024,648
355030805000025,453
355030805000026,721
355030805000027,822
355030805000028,605
355030805000029,701
355030805000030,652
355030805000031,421
355030805000032,702
355030805000033,574
355030805000034,676
355030805000035,795
355030805000036,587
355030805000037,499
355030805000038,415
355030805000039,521
355030805000040,542
355030805000041,323
355030805000042,475
355030805000043,654
355030805000044,726
355030805000045,774
355030805000046,560
355030805000047,505
355030805000048,469
355030805000049,493
355030805000050,375
355030805000051,1073
355030805000052,600
355030805000053,384
355030805000054,520
355030805000055,524
355030805000056,629
355030805000057,779
355030805000058,716
355030805000059,250
355030805000060,632
355030805000061,754
355030805000062,686
355030805000063,933
355030805000064,580
355030805000065,672
355030805000066,466
355030805000067,413
355030805000068,638
355030805000069,935
355030805000070,767
355030805000071,105
355030805000072,631
355030805000073,684
355030805000074,767
355030805000075,963
355030805000076,785
355030805000077,582
355030805000078,644
355030805000079,552
355030805000080,362
355030805000081,699
355030805000082,483
355030805000083,628
355030805000084,554
355030805000085,742
355030805000086,592
355030805000087,428
355030805000088,588
355030805000089,675
355030805000090,509
355030805000091,841
355030805000092,822
355030805000093,682
355030805000094,572
355030805000095,815
355030805000096,620
355030805000097,515
355030805000098,1287
355030805000099,909
355030805000100,907
355030805000101,512
355030805000102,1049
355030805000103,1065
355030805000104,864
355030805000105,824
355030805000106,658
355030805000107,663
355030805000108,492
355030805000109,907
355030805000110,659
355030805000111,791
355030805000112,709
355030805000113,566
355030805000114,407
355030805000115,536
355030805000116,529
355030805000117,540
355030805000118,688
355030805000119,732
355030805000120,714
355030805000121,792
355030805000122,483
355030805000123,672
355030805000124,261
355030805000125,890
355030805000126,671
355030805000127,1096
355030805000128,540
355030805000129,553
355030805000130,1103
355030805000131,865
355030805000132,1050
355030805000133,996
355030805000134,816
355030805000135,450
355030805000136,639
355030805000137,624
355030805000138,672
355030805000139,842
355030805000140,560
355030805000141,681
355030805000142,505
355030805000143,649
355030805000144,340
355030805000145,918
355030805000146,451
355030805000147,290
355030805000148,312
355030805000149,394
355030806000001,53
355030806000002,450
355030806000003,321
355030806000004,350
355030806000005,611
355030806000006,366
355030806000007,400
355030806000008,725
355030806000009,352
355030806000010,484
355030806000011,317
355030806000012,493
